urn,school_name,website_url,page_url_scraped,emails_found,checked_at_utc,method,notes
119341,Accrington Woodnook Primary School,www.woodnookschool.co.uk/,brave_search,"bursar@woodnook.lancs.sch.uk,head@woodnook.lancs.sch.uk",2026-02-20T17:52:11.239843Z,brave_search,Found 2 email(s)
151005,"Alston Lane Catholic Primary School, Longridge",www.alstonlane.lancs.sch.uk,brave_search,bursar@alstonlane.lancs.sch.uk,2026-02-20T17:52:13.402647Z,brave_search,Found 1 email(s)
119146,Ansdell Primary School,www.ansdellprimary.co.uk/,brave_search,head@ansdell.lancs.sch.uk,2026-02-20T17:52:15.544888Z,brave_search,Found 1 email(s)
149981,Appley Bridge All Saints Church of England Primary Academy,www.appleybridgeallsaints.lancs.sch.uk/,brave_search,"bursar@appleybridgeallsaints.lancs.sch.uk,abasoffice@cidari.co.uk",2026-02-20T17:52:17.649823Z,brave_search,Found 2 email(s)
119814,Archbishop Temple Church of England High School,http://www.archbishoptemple.com,brave_search,,2026-02-20T17:52:19.882823Z,brave_search,No email in search results
119602,Ashton-on-Ribble St Andrew's Church of England Primary School,http://www.standrewscofe.net,brave_search,admin@st-andrewscofe.lancs.sch.uk,2026-02-20T17:52:22.018449Z,brave_search,Found 1 email(s)
119287,Aughton Town Green Primary School,www.towngreen.lancsngfl.ac.uk/,brave_search,office@towngreen.lancs.sch.uk,2026-02-20T17:52:24.178756Z,brave_search,Found 1 email(s)
150407,Barnacre Road Primary School,,,,2026-02-20T17:52:25.679161Z,none,NO WEBSITE
119397,Barrow URC Primary School,www.barrow.lancsngfl.ac.uk/,brave_search,office@barrow.lancs.sch.uk,2026-02-20T17:52:26.368314Z,brave_search,Found 1 email(s)
119562,Barton St Lawrence Church of England Primary School,www.st-lawrence.lancs.sch.uk,brave_search,head@st-lawrence.lancs.sch.uk,2026-02-20T17:52:28.502018Z,brave_search,Found 1 email(s)
119519,Bilsborrow John Cross Church of England Primary School,www.johncross.lancs.sch.uk,brave_search,head@johncross.lancs.sch.uk,2026-02-20T17:52:30.648258Z,brave_search,Found 1 email(s)
145816,Blacko Primary School,www.blacko.lancs.sch.uk,brave_search,"bursar@blacko.penninetrust.org,head@blacko.lancs.sch.uk",2026-02-20T17:52:32.770060Z,brave_search,Found 2 email(s)
119861,Bleasdale School,http://www.bleasdaleschool.lancs.sch.uk,brave_search,,2026-02-20T17:52:34.905051Z,brave_search,No email in search results
119078,Bradley Nursery School,www.bradleynursery.co.uk,brave_search,"bursar@bradley-nur.lancs.sch.uk,head@bradley-nur.lancs.sch.uk",2026-02-20T17:52:37.052678Z,brave_search,Found 2 email(s)
151150,Brindle Gregson Lane Primary School,www.bgl.lancs.sch.uk,brave_search,office@bgl.lancs.sch.uk,2026-02-20T17:52:39.207250Z,brave_search,Found 4 email(s)
119189,Britannia Community Primary School,www.britanniaprimary.co.uk,brave_search,"s.connolly@britannia.lancs.sch.uk,head@britannia.lancs.sch.uk",2026-02-20T17:52:41.336002Z,brave_search,Found 2 email(s)
119230,Brockholes Wood Community Primary School and Nursery,http://www.brockholeswood.lancs.sch.uk,brave_search,,2026-02-20T17:52:43.492252Z,brave_search,No email in search results
119895,Brookfield School,www.brookfieldschool.co.uk,brave_search,bursar@brookfield.lancs.sch.uk,2026-02-20T17:52:45.607958Z,brave_search,Found 1 email(s)
119217,Burnley Brunshaw Primary School,http://www.brunshaw23.lancsngfl.ac.uk,brave_search,"e.mcnicoll@brunshaw.lancs.sch.uk,office@brunshaw.lancs.sch.uk",2026-02-20T17:52:47.764102Z,brave_search,Found 2 email(s)
119264,Burnley Ightenhill Primary School,www.ightenhill.lancs.sch.uk/,brave_search,head@ightenhill.lancs.sch.uk,2026-02-20T17:52:49.904874Z,brave_search,Found 1 email(s)
119215,Burnley Lowerhouse Junior School,www.lowerhousejuniorschool.co.uk,brave_search,"head@lowerhouse.lancs.sch.uk,admin@lowerhouse.lancs.sch.uk",2026-02-20T17:52:52.098236Z,brave_search,Found 2 email(s)
133546,Burnley Springfield Community Primary School,www.springfieldcps.lancs.sch.uk,brave_search,,2026-02-20T17:52:54.311143Z,brave_search,No email in search results
119484,Burnley St Peter's Church of England Primary School,www.st-peters-burnley.lancs.sch.uk/,brave_search,,2026-02-20T17:52:56.438810Z,brave_search,No email in search results
119402,Burscough Bridge Methodist School,www.burscoughbridge.lancs.sch.uk/,brave_search,"bursar@burscoughbridge.lancs.sch.uk,head@burscoughbridge.lancs.sch.uk",2026-02-20T17:52:58.611270Z,brave_search,Found 2 email(s)
119376,Burscough Bridge St John's Church of England Primary School,www.stjohnsburscough.co.uk,brave_search,,2026-02-20T17:53:00.822818Z,brave_search,No email in search results
