urn,school_name,website_url,page_url_scraped,emails_found,checked_at_utc,method,notes
119814,Archbishop Temple Church of England High School,http://www.archbishoptemple.com,brave_search,,2026-02-20T18:16:51.362478Z,brave_search,No email in search results
150407,Barnacre Road Primary School,,,,2026-02-20T18:16:52.862714Z,none,NO WEBSITE
119861,Bleasdale School,http://www.bleasdaleschool.lancs.sch.uk,brave_search,,2026-02-20T18:16:53.484060Z,brave_search,No email in search results
119230,Brockholes Wood Community Primary School and Nursery,http://www.brockholeswood.lancs.sch.uk,brave_search,,2026-02-20T18:16:55.705728Z,brave_search,No email in search results
133546,Burnley Springfield Community Primary School,www.springfieldcps.lancs.sch.uk,brave_search,,2026-02-20T18:16:57.882736Z,brave_search,No email in search results
119484,Burnley St Peter's Church of England Primary School,www.st-peters-burnley.lancs.sch.uk/,brave_search,,2026-02-20T18:17:00.006427Z,brave_search,No email in search results
119376,Burscough Bridge St John's Church of England Primary School,www.stjohnsburscough.co.uk,brave_search,,2026-02-20T18:17:02.211127Z,brave_search,No email in search results
119557,Carleton St Hilda's Church of England Primary School,http://www.sthildas-carleton.lancs.sch.uk/,brave_search,,2026-02-20T18:17:04.352257Z,brave_search,No email in search results
119522,"Carnforth Christ Church, Church of England, Voluntary Aided Primary School",www.christchurch-carnforth.lancs.sch.uk,brave_search,,2026-02-20T18:17:06.480673Z,brave_search,No email in search results
119524,Caton St Paul's Church of England Primary School,https://catonstpauls.com/,brave_search,,2026-02-20T18:17:08.665833Z,brave_search,No email in search results
133398,Chadwick High School,,,,2026-02-20T18:17:10.165988Z,none,NO WEBSITE
119877,Chorley Astley Park School,www.astleypark.lancs.sch.uk,brave_search,"bst@astleypark.lancs.sch.uk,head@astleypark.lancs.sch.uk",2026-02-20T18:17:11.233536Z,brave_search,Found 3 email(s)
119467,Chorley St James' Church of England Primary School,https://chorleystjamesblogs.net,brave_search,"head@st-james-chorley.lancs.sch.uk,bursar@st-james67.lancsngfl.ac.uk",2026-02-20T18:17:13.660209Z,brave_search,Found 2 email(s)
119463,Christ Church Charnock Richard CofE Primary School,http://www.charnockrichard.lancs.sch.uk,brave_search,,2026-02-20T18:17:16.133009Z,brave_search,No email in search results
150615,Christ The King Catholic High School,,,,2026-02-20T18:17:17.633151Z,none,NO WEBSITE
149124,"Christ The King Roman Catholic Primary School, a Voluntary Academy",www.king-pri.lancs.sch.uk/,brave_search,,2026-02-20T18:17:18.596452Z,brave_search,No email in search results
119331,Clayton Brook Primary School,www.claytonbrook.lancs.sch.uk,brave_search,"head@claytonbrook.lancs.sch.uk,bursar@claytonbrook.lancs.sch.uk",2026-02-20T18:17:21.214003Z,brave_search,Found 2 email(s)
137641,Clayton-le-Moors All Saints' Church of England Primary School,http://www.allsaints-clm.lancs.sch.uk,brave_search,head@allsaints-clm.lancs.sch.uk,2026-02-20T18:17:23.649456Z,brave_search,Found 1 email(s)
119186,Clayton-le-Moors Mount Pleasant Primary School,www.mountpleasant.lancs.sch.uk/,brave_search,bursar@mountpleasant.lancs.sch.uk,2026-02-20T18:17:26.139011Z,brave_search,Found 1 email(s)
119318,Clayton-le-Woods Manor Road Primary School,www.manor-road.lancsngfl.ac.uk/,brave_search,"bursar@manorroad.lancs.sch.uk,dconway@manorroad.lancs.sch.uk",2026-02-20T18:17:28.696689Z,brave_search,Found 2 email(s)
119291,Clifton Primary School,http://www.clifton-pri.lancs.sch.uk,brave_search,bursar@clifton-pri.lancs.sch.uk,2026-02-20T18:17:31.215212Z,brave_search,Found 1 email(s)
119321,Clitheroe Brookside Primary School,http://www.brookside.lancs.sch.uk,brave_search,"head@brookside.lancs.sch.uk,bursar@brookside.lancs.sch.uk",2026-02-20T18:17:33.682223Z,brave_search,Found 2 email(s)
119161,Clitheroe Pendle Primary School,www.pendle.lancs.sch.uk,brave_search,"bursar@pendle.lancs.sch.uk,head@pendle.lancs.sch.uk",2026-02-20T18:17:36.138704Z,brave_search,Found 2 email(s)
136390,Clitheroe Royal Grammar School,http://www.crgs.org.uk,brave_search,mainschool@crgs.org.uk,2026-02-20T18:17:38.687325Z,brave_search,Found 1 email(s)
142054,Coal Clough Academy,coalclough.org,brave_search,"enquiries@coalclough.org,hclarke@coalclough.org",2026-02-20T18:17:41.198203Z,brave_search,Found 2 email(s)
